GNB1	NM_002074.4
CSF3R	NM_000760.3
MPL	NM_005373.2
JAK1	NM_002227.3
NRAS	NM_002524.4
DNMT3A	NM_022552.4
SF3B1	NM_012433.3
IDH1	NM_005896.3
MYD88	NM_002468.4
GATA2	NM_032638.4
KIT	NM_000222.2
TET2	NM_001127208.2
FBXW7	NM_033632.3
NPM1	NM_002520.6
DDX41	NM_016222.3
IKZF1	NM_006060.5
CUX1	NM_181500.3
BRAF	NM_004333.4
EZH2	NM_004456.4
KMT2C	NM_170606.2
RAD21	NM_006265.2
JAK2	NM_004972.3
PAX5	NM_016734.2
NOTCH1	NM_017617.4
PTEN	NM_000314.6
HRAS	NM_005343.3
WT1	NM_024426.4
BIRC3	NM_001165.4
ATM	NM_000051.3
KMT2A	NM_001197104.1
CBL	NM_005188.3
ETV6	NM_001987.4
ETNK1	NM_018638.4
KRAS	NM_033360.3
NFE2	NM_001136023.2
SH2B3	NM_005475.2
PTPN11	NM_002834.3
FLT3	NM_004119.2
IDH2	NM_002168.3
CREBBP	NM_004380.2
TP53	NM_000546.5
NF1	NM_001042492.2
STAT5B	NM_012448.3
STAT3	NM_139276.2
PPM1D	NM_003620.3
SRSF2	NM_001195427.1
SETBP1	NM_015559.2
CALR	NM_004343.3
CEBPA	NM_004364.4
ASXL1	NM_015338.5
GNAS	NM_080425.3
RUNX1	NM_001754.4
U2AF1	NM_006758.2
CHEK2	NM_007194.3
EP300	NM_001429.3
ZRSR2	NM_005089.3
BCOR	NM_001123385.1
GATA1	NM_002049.3
STAG2	NM_001042750.1
BCORL1	NM_001184772.2
PHF6	NM_001015877.1
