ANKRD26	NM_014915.3
ARID1A	NM_006015.6
ASXL1	NM_015338.6
ATM	NM_000051.4
BCL2	NM_000633.3
BCORL1	NM_001379451.1
BCOR	NM_001123385.2
BIRC3	NM_001165.5
BRAF	NM_004333.6
BTK	NM_000061.3
CALR	NM_004343.4
CARD11	NM_032415.7
CBL	NM_005188.4
CEBPA	NM_004364.5
CREBBP	NM_004380.3
CSF3R	NM_000760.4
CUX1	NM_001913.5
CUX1	NM_181552.4
CXCR4	NM_003467.3
DDX41	NM_016222.4
DIS3	NM_014953.5
DNMT3A	NM_022552.5
EP300	NM_001429.4
ETNK1	NM_018638.5
ETV6	NM_001987.5
EZH2	NM_004456.5
FBXW7	NM_001349798.2
FLT3	NM_004119.3
FOXO1	NM_002015.4
GATA1	NM_002049.4
GATA2	NM_032638.5
GNAS	NM_016592.5
GNAS	NM_080425.4
GNB1	NM_002074.5
HRAS	NM_005343.4
IDH1	NM_005896.4
IDH2	NM_002168.4
IKZF1	NM_006060.6
IRF4	NM_002460.4
JAK1	NM_002227.4
JAK2	NM_004972.4
KIT	NM_000222.3
KMT2A	NM_001197104.2
KMT2C	NM_170606.3
KRAS	NM_004985.5
MAP2K1	NM_002755.4
MEF2B	NM_001145785.2
MPL	NM_005373.3
MYD88	NM_002468.5
NF1	NM_001042492.3
NFE2	NM_001136023.3
NOTCH1	NM_017617.5
NPM1	NM_002520.7
NRAS	NM_002524.5
PAX5	NM_016734.3
PHF6	NM_001015877.2
PLCG2	NM_002661.5
PPM1D	NM_003620.4
PTEN	NM_000314.8
PTPN11	NM_002834.5
RAD21	NM_006265.3
RHOA	NM_001664.4
RUNX1	NM_001754.5
SETBP1	NM_015559.3
SF3B1	NM_012433.4
SH2B3	NM_005475.3
SRSF2	NM_001195427.2
STAG2	NM_001042750.2
STAT3	NM_139276.3
STAT5B	NM_012448.4
TENT5C	NM_017709.4
TET2	NM_001127208.3
TP53	NM_000546.6
U2AF1	NM_006758.3
UBA1	NM_003334.4
WT1	NM_024426.6
ZRSR2	NM_005089.4
